federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
015-1020,"Federal Prisoner Detention, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,111655795.62,18633855.49,1536000000.00,0.00,0.00,186821.00,186821.00,1666476472.11,1612064611.74,18585272.07,54411860.37,1523216852.37,1666476472.11
070-0542,"Federal Protective Service, National Protection and Programs Directorate, Homeland Security",Department of Homeland Security,General Government,General property and records management,128048874.71,56077004.92,0.00,0.00,0.00,1681478427.65,1681478427.65,1865604307.28,1552439167.60,56077004.92,313165139.68,1458058536.54,1865604307.28
020-1884,"Federal Reserve Bank Reimbursement Fund,  Bureau of the Fiscal Service, Treasury",Department of the Treasury,General Government,Central fiscal operations,0.00,43455068.97,517523873.20,0.00,0.00,0.00,0.00,560978942.17,560978942.17,43455068.97,0.00,530162507.33,560978942.17
089-0313,"Federal Salaries and Expenses, National Nuclear Security Administration, Energy",Department of Energy,National Defense,Atomic energy defense activities,31869980.60,2251686.67,407595000.00,0.00,0.00,0.00,0.00,441716667.27,421606360.28,4636959.20,20110306.99,412745587.71,441716667.27
013-4417,"Federal Ship Financing Fund, Fishing Vessels, Liquidating Account, National Oceanic and Atmospheric Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-2810,"Federal-State Partnership for State of Good Repair Grants, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,25000000.00,0.00,250000000.00,0.00,0.00,0.00,0.00,275000000.00,19327.35,0.00,274980672.65,0.00,275000000.00
091-4257,"Federal Student Loan Reserve Fund, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,2076589948.62,0.00,0.00,0.00,0.00,195207016.38,195207016.38,2271796965.00,95836977.33,0.00,2175959987.67,95836977.33,2271796965.00
075-8004,"Federal Supplementary Medical Insurance Trust Fund-Treasury Managed, Health and Human Services",Department of Health and Human Services,Medicare,Medicare,0.00,344933628.02,327134270507.51,0.00,0.00,0.00,0.00,327479204135.53,327479204135.53,32883816.97,0.00,325834855849.10,327479204135.53
020-4413,"Federal Tax Lien Revolving Fund, Internal Revenue Service, Treasury",Department of the Treasury,General Government,Central fiscal operations,7206994.68,0.00,0.00,0.00,0.00,267378.94,267378.94,7474373.62,0.00,0.00,7474373.62,0.00,7474373.62
014-0120,"Federal Trust Programs, Office of the Special Trustee for American Indians, Interior",Department of the Interior,General Government,Other general government,37684858.08,5529864.21,119400000.00,0.00,0.00,2069584.94,2069584.94,164684307.23,146132240.83,5529864.21,18552066.40,144190540.18,164684307.23
016-0326,"Federal Unemployment Benefits and Allowances, Employment and Training Administration, Labor",,"Education, Training, Employment, and Social Services",Training and employment,475800913.85,-164245590.72,737860000.00,0.00,0.00,0.00,0.00,1049415323.13,668523750.61,123221061.32,380891572.52,418529290.88,1049415323.13
016-1801,"Federal Unemployment Compensation Program, Employment and Training Administration, Labor",,Income Security,Unemployment compensation,0.00,0.00,509809.49,0.00,0.00,0.00,0.00,509809.49,509809.49,3411652.07,0.00,384451.15,509809.49
015-0311,"Fees and Expenses of Witnesses, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,246084241.91,47565207.73,252180000.00,0.00,0.00,0.00,0.00,545829449.64,296421255.80,47565207.73,249408193.84,227247421.47,545829449.64
086-4072,"FHA-General and Special Risk Insurance Fund Liquidating Account, Housing and Urban Development",Department of Housing and Urban Development,Commerce and Housing Credit,Mortgage credit,137648984.17,-122993446.45,25000000.00,0.00,0.00,156612087.34,156612087.34,196267625.06,35107303.50,14655537.72,161160321.56,23579493.84,196267625.06
086-0236,"FHA, Mutual Mortgage Insurance Capital Reserve Account, Housing and Urban Development",Department of Housing and Urban Development,Commerce and Housing Credit,Mortgage credit,31634595087.29,-12648082063.64,0.00,0.00,0.00,7995229764.03,7995229764.03,26981742787.68,0.00,0.00,26981742787.68,0.00,26981742787.68
036-1121,"Filipino Veterans Equity Compensation Fund, Benefits Programs, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,55722755.00,0.00,0.00,0.00,0.00,0.00,0.00,55722755.00,102000.00,0.00,55620755.00,102000.00,55722755.00
014-5463,"Filming and Photography Fee Program, Fish and Wildlife Service, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,0.00,0.00,75000.00,0.00,0.00,0.00,0.00,75000.00,0.00,0.00,75000.00,0.00,75000.00
020-1802,"Financial Agent Services, Bureau of the Fiscal Service, Treasury",Department of the Treasury,General Government,Central fiscal operations,0.00,12679496.37,800839178.01,0.00,0.00,0.00,0.00,813518674.38,813518674.38,12679496.37,0.00,797715819.01,813518674.38
069-0116,"Financial Management Capital, Office of the Secretary, Transportation",Department of Transportation,Transportation,Other transportation,2065999.10,0.00,6000000.00,0.00,0.00,0.00,0.00,8065999.10,1743461.25,0.00,6322537.85,1560115.31,8065999.10
020-5590,"Financial Research Fund, Departmental Offices, Treasury",Department of the Treasury,Commerce and Housing Credit,Other advancement of commerce,74015959.14,7118569.40,59457064.50,0.00,0.00,111574.61,111574.61,140703167.65,85152541.55,7118569.40,55550626.10,82723033.01,140703167.65
070-0561,"Firefighter Assistance Grants, Federal Emergency Management Agency, Department of Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,50968349.12,32060597.15,0.00,0.00,0.00,0.00,0.00,83028946.27,109226.00,48008233.34,82919720.27,571259102.78,83028946.27
013-4421,"First Responder Network Authority, National Telecommunications and Information Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,0.00,0.00,0.00,239769000.00,239769000.00,239769000.00,0.00,0.00,239769000.00,36832.22,239769000.00
013-2055,"Fisheries Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,77731.10,343.59,219780000.00,0.00,0.00,0.00,0.00,219858074.69,0.00,343.59,219858074.69,7246587.85,219858074.69
013-5583,"Fisheries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,15681703.49,1496.31,4146229.57,0.00,0.00,0.00,0.00,19829429.37,3553123.67,1496.31,16276305.70,3377622.46,19829429.37
013-1456,"Fisheries Finance Program Account, National Oceanic and Atmospheric Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,2778568.22,0.00,7997463.26,0.00,0.00,0.00,0.00,10776031.48,7997463.26,0.00,2778568.22,7997463.26,10776031.48
019-5116,"Fisherman's Protective Fund, Special Account, State",Department of State,Commerce and Housing Credit,Other advancement of commerce,630948.81,0.00,0.00,0.00,0.00,0.00,0.00,630948.81,0.00,0.00,630948.81,0.00,630948.81
013-5120,"Fishermen's Contingency Fund, National Oceanic and Atmospheric Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,1318482.26,-2384.93,351384.93,0.00,0.00,0.00,0.00,1667482.26,120245.89,0.00,1547236.37,120245.89,1667482.26
019-5121,"Fishermen's Guaranty Fund, State",Department of State,Commerce and Housing Credit,Other advancement of commerce,2747861.55,0.00,0.00,0.00,0.00,0.00,0.00,2747861.55,0.00,0.00,2747861.55,0.00,2747861.55
014-1127,"Flame Wildfire Suppression Reserve Fund, Department-Wide Programs, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,66000000.00,-66000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
012-1120,"Flame Wildfire Suppression Reserve Fund, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
024-0800,"Flexible Benefits Plan Reserve, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,48511599.42,0.00,0.00,0.00,0.00,21569284.16,21569284.16,70080883.58,9240390.65,0.00,60840492.93,7919427.92,70080883.58
086-4044,"Flexible Subsidy Fund, Housing Programs, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,479360645.00,0.00,0.00,0.00,0.00,40873545.26,40873545.26,520234190.26,0.00,0.00,520234190.26,0.00,520234190.26
096-3125,"Flood Control and Coastal Emergencies, Corps of Engineers, Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,2706883908.67,-490674513.38,845000000.00,0.00,0.00,6312637863.37,6312637863.37,9373847258.66,6991537298.86,28225486.62,2382309959.80,4988011752.47,9373847258.66
070-0500,"Flood Hazard Mapping and Risk Analysis Program, Federal Emergency Management Agency, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,13235386.83,11281510.07,0.00,0.00,0.00,0.00,0.00,24516896.90,16634302.64,11281510.07,7882594.26,87978360.55,24516896.90
075-8247,Food and Drug Administration Unconditional Gift Fund,Department of Health and Human Services,Health,Health care services,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
072-1023,"Food and Nutrition, Development Assistance, Economic Assistance, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,2767500.48,0.00,0.00,0.00,0.00,0.00,0.00,2767500.48,0.00,0.00,2767500.48,0.00,2767500.48
012-2278,"Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture",Department of Agriculture,International Affairs,International development and humanitarian assistance,208714222.52,152495452.67,1716000000.00,0.00,0.00,9.45,9.45,2077209684.64,1842529965.35,152495452.67,234679719.29,1740710950.07,2077209684.64
012-3700,"Food Safety and Inspection Service, Agriculture",Department of Agriculture,Health,Consumer and occupational health and safety,88994429.90,1442109.02,1056504000.00,0.00,0.00,208001816.43,208001816.43,1354942355.35,1281264561.58,9347191.87,73677793.77,1280050002.31,1354942355.35
017-5562,Ford Island Improvement Account,Department of the Navy,National Defense,Department of Defense-Military,100000.00,0.00,0.00,0.00,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,100000.00
074-0101,"Foreign Currency Fluctuations Account, American Battle Monuments Commission",American Battle Monuments Commission,Veterans Benefits and Services,Other veterans benefits and services,19555706.68,0.00,0.00,0.00,0.00,0.00,0.00,19555706.68,0.00,0.00,19555706.68,0.00,19555706.68
097-0803,"Foreign Currency Fluctuations, Construction, Defense",Department of Defense,National Defense,Department of Defense-Military,30491018.00,1001000.00,0.00,0.00,0.00,0.00,0.00,31492018.00,0.00,0.00,31492018.00,0.00,31492018.00
097-0801,"Foreign Currency Fluctuations, Defense",Department of Defense,National Defense,Department of Defense-Military,969708000.00,292000.00,0.00,0.00,0.00,0.00,0.00,970000000.00,0.00,0.00,970000000.00,0.00,970000000.00
011-0101,"Foreign Currency Fluctuations, Peace Corps",,International Affairs,International development and humanitarian assistance,5500000.00,-599224.71,0.00,0.00,0.00,0.00,0.00,4900775.29,0.00,0.00,4900775.29,0.00,4900775.29
013-5122,"Foreign Fishing Observer Fund, National Oceanic and Atmospheric Administration, Commerce",Department of Commerce,Natural Resources and Environment,Other natural resources,521842.00,-521842.00,521842.00,0.00,0.00,0.00,0.00,521842.00,0.00,0.00,521842.00,0.00,521842.00
011-1085,"Foreign Military Financing, Direct Loan Program Account, Funds Appropriated to the President",,International Affairs,International security assistance,150000000.00,-229634.00,111728014.00,0.00,0.00,0.00,0.00,261498380.00,261498380.00,0.00,0.00,121052813.28,261498380.00
011-1082,"Foreign Military Financing Program, Funds Appropriated to the President",,International Affairs,International security assistance,1402293839.93,1455937575.13,6131613000.00,0.00,0.00,0.00,0.00,8989844415.06,8270201703.49,1549025457.55,719642711.57,5568959046.71,8989844415.06
011-4121,"Foreign Military Loan Liquidating Account, Funds Appropriated to the President",,International Affairs,International security assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
072-8342,"Foreign National Employees Separation Liability Fund, Agency for International Development",Agency for International Development,Income Security,Federal employee retirement and disability,16983005.66,20040364.27,4330966.34,0.00,0.00,0.00,0.00,41354336.27,33991750.03,20040364.27,7362586.24,23869672.98,41354336.27
097-8165,"Foreign National Employees Separation Pay Account, Defense",Department of Defense,National Defense,Department of Defense-Military,70035122.14,19596535.28,2606072.25,0.00,0.00,0.00,0.00,92237729.67,0.00,19596535.28,92237729.67,4345506.46,92237729.67
019-5497,"Foreign Service National Defined Contributions Retirement Fund, State",Department of State,Income Security,Federal employee retirement and disability,12284630.46,0.00,23559445.63,0.00,0.00,0.00,0.00,35844076.09,12001139.68,0.00,23842936.41,11995980.81,35844076.09
012-8558,"Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,0.00,0.00,156700.00,0.00,0.00,0.00,0.00,156700.00,156700.00,0.00,0.00,169794.84,156700.00
514-8285,"Foreign Service National Separation Liability Trust Fund, Broadcasting Board of Governors",Broadcasting Board of Governors,Income Security,Federal employee retirement and disability,6374452.09,219.60,467902.00,0.00,0.00,0.00,0.00,6842573.69,407702.24,219.60,6434871.45,449089.03,6842573.69
012-8505,"Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture",Department of Agriculture,Income Security,Federal employee retirement and disability,0.00,100405.27,0.00,0.00,0.00,0.00,0.00,100405.27,9464.89,100405.27,90940.38,1798308.11,100405.27
011-8345,"Foreign Service National Separation Liability Trust Fund, Peace Corps",,International Affairs,International development and humanitarian assistance,883568.99,102405.64,0.00,0.00,0.00,0.00,0.00,985974.63,0.00,102405.64,985974.63,513088.18,985974.63
019-8340,"Foreign Service National Separation Liability Trust Fund, State",Department of State,Income Security,Federal employee retirement and disability,351424445.84,754912.42,33459241.11,0.00,0.00,0.00,0.00,385638599.37,29450604.74,754912.42,356187994.63,28876661.29,385638599.37
019-8186,"Foreign Service Retirement and Disability Fund, State",Department of State,Income Security,Federal employee retirement and disability,55557.21,43555.03,960450554.42,0.00,0.00,0.00,0.00,960549666.66,960496051.35,43555.03,53615.31,960496051.35,960549666.66
012-1104,"Forest and Rangeland Research, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,20543948.35,2009042.63,298362444.08,0.00,0.00,36084509.23,36084509.23,356999944.29,329141257.69,3445622.63,27858686.60,327020715.56,356999944.29
014-5165,"Forest Ecosystems Health and Recovery, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,22155493.88,46069.15,9557444.45,0.00,0.00,0.00,0.00,31759007.48,6900676.25,46069.15,24858331.23,6694379.18,31759007.48
096-3130,"Formerly Utilized Sites Remedial Action Program, Corps of Engineers-Civil",Corps of Engineers - Civil Works,National Defense,Atomic energy defense activities,4325662.41,691555.23,139000000.00,0.00,0.00,13158674.06,13158674.06,157175891.70,151775359.31,691555.23,5400532.39,109552569.53,157175891.70
069-8350,"Formula and Bus Grants, Liquidation of Contract Authorization, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,11900180599.71,69625176.44,0.00,0.00,11024222230.03,0.00,11024222230.03,22994028006.18,11815744815.71,91262162.44,11178283190.47,10106692262.50,22994028006.18
069-1129,"Formula Grants, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,48316402.92,890974.63,0.00,0.00,0.00,-0.66,-0.66,49207376.89,0.66,1090056.63,49207376.23,14107429.57,49207376.89
089-0213,"Fossil Energy Research and Development, Energy Programs, Energy",Department of Energy,Energy,Energy supply,244120564.04,14854686.80,709849678.00,0.00,0.00,824053.05,824053.05,969648981.89,722796946.66,15583373.96,246852035.23,537196048.92,969648981.89
036-4539,"Franchise Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,115002132.50,37644157.09,0.00,0.00,0.00,933160827.69,933160827.69,1085807117.28,1062577262.92,37644157.09,23229854.36,906344236.06,1085807117.28
075-0330,"Free Clinics Malpractice Claims Fund, Health Resources and Service Administration, Health and Human Services",Department of Health and Human Services,Health,Health care services,1243380.75,165002.35,1000000.00,0.00,0.00,0.00,0.00,2408383.10,678320.43,165002.35,1730062.67,283918.52,2408383.10
096-5493,"Fund for Non-Federal Use of Disposal Facilities, Corps of Engineers",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
012-5209,"Funds for Strengthening Markets, Income, and Supply (Section 32), Agriculture",Department of Agriculture,Income Security,Food and nutrition assistance,54880032.10,585456.34,1094290013.65,0.00,0.00,8246993.00,8246993.00,1158002495.09,844985696.00,585456.34,313016799.09,716232180.56,1158002495.09
091-0602,"Gallaudet University, Special Institutions for Persons with Disabilities, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,0.00,0.00,128000000.00,0.00,0.00,0.00,0.00,128000000.00,128000000.00,0.00,0.00,128000000.00,128000000.00
036-0142,"General Administration, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,74562625.11,16281955.06,337594000.00,0.00,0.00,337612569.19,337612569.19,766051149.36,707488012.22,33943833.64,58563137.14,639730584.17,766051149.36
086-0200,"General and Special Risk Program Account, Federal Housing Administration, Housing and Urban Development",Department of Housing and Urban Development,Commerce and Housing Credit,Mortgage credit,805120.71,777392.00,1922744269.00,0.00,0.00,0.00,0.00,1924326781.71,1922753215.00,777392.00,1573566.71,1922744269.00,1924326781.71
075-0120,"General Departmental Management, Departmental Management",Department of Health and Human Services,Health,Health care services,51627689.40,6996166.43,469488400.00,0.00,0.00,222511424.73,222511424.73,750623680.56,712965588.64,23743043.02,37658091.92,662126404.20,750623680.56
084-0100,"General Fund Payment, Armed Forces Retirement Home, Defense-Civil",Armed Forces Retirement Home,Income Security,Federal employee retirement and disability,0.00,0.00,22000000.00,0.00,0.00,0.00,0.00,22000000.00,22000000.00,0.00,0.00,22000000.00,22000000.00
011-1750,"General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,15000000.00,0.00,0.00,0.00,0.00,15000000.00,15000000.00,0.00,0.00,15000000.00,15000000.00
070-8533,"General Gift Fund, USCG, Homeland Security",Department of Homeland Security,Transportation,Water transportation,2413754.88,0.00,2280960.37,0.00,0.00,0.00,0.00,4694715.25,1932238.42,0.00,2762476.83,1946696.76,4694715.25
036-0151,"General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,109906054.77,61073469.76,2916633000.00,0.00,0.00,1069468973.29,1069468973.29,4157081497.82,3987315746.18,78506355.28,169765751.64,3889293584.24,4157081497.82
036-8180,"General Post Fund, National Homes, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,106188583.15,535682.76,24848446.72,0.00,0.00,0.00,0.00,131572712.63,19548670.02,535682.76,112024042.61,19601820.44,131572712.63
014-5574,"Geothermal Lease Revenues, Payment to Counties, Office of Natural Resources Revenue, Interior",Department of the Interior,General Government,General purpose fiscal assistance,0.00,0.00,3640828.44,0.00,0.00,0.00,0.00,3640828.44,3640828.44,0.00,0.00,3640828.44,3640828.44
014-5575,Geothermal Steam Implementation Fund,Department of the Interior,Natural Resources and Environment,Conservation and land management,32372.40,0.00,0.00,0.00,0.00,0.00,0.00,32372.40,0.00,0.00,32372.40,4433.69,32372.40
012-8203,"Gifts and Bequests, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,4448928.42,19847.44,1133105.62,0.00,0.00,0.00,0.00,5601881.48,839727.28,19847.44,4762154.20,796976.31,5601881.48
013-8501,"Gifts and Bequests, Departmental Management, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,1415186.33,0.00,161134.69,0.00,0.00,0.00,0.00,1576321.02,942521.93,0.00,633799.09,1002122.22,1576321.02
016-8131,"Gifts and Bequests, Departmental Management, Labor",,"Education, Training, Employment, and Social Services",Other labor services,146574.59,0.00,0.00,0.00,0.00,0.00,0.00,146574.59,1750.00,0.00,144824.59,0.00,146574.59
086-8093,"Gifts and Bequests, Housing and Urban Development",Department of Housing and Urban Development,Community and Regional Development,Community development,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.14,0.00,0.14
069-8503,"Gifts and Bequests, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,3934058.93,4067.90,4859425.69,0.00,0.00,0.00,0.00,8797552.52,885827.76,4067.90,7911724.76,1256230.44,8797552.52
069-8548,"Gifts and Bequests, Office of the Secretary, Transportation",Department of Transportation,Transportation,Other transportation,0.00,0.00,100000.00,0.00,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,100000.00
020-8790,"Gifts and Bequests, Treasury",Department of the Treasury,General Government,Central fiscal operations,1476827.09,8553.96,15704.57,0.00,0.00,0.00,0.00,1501085.62,15412.39,8553.96,1485673.23,40823.39,1501085.62
014-8369,"Gifts and Bequest, Take Pride in America, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,22557.74,0.00,30397.63,0.00,0.00,0.00,0.00,52955.37,0.00,0.00,52955.37,0.00,52955.37
485-8981,"Gifts and Contributions, Corporation for National and Community Service",Corporation for National and Community Service,"Education, Training, Employment, and Social Services",Social services,500985.25,511.32,16856.71,0.00,0.00,0.00,0.00,518353.28,136711.57,511.32,381641.71,150775.76,518353.28
011-8245,"Gifts and Contributions, Peace Corps",,International Affairs,International development and humanitarian assistance,2944385.70,89928.30,1845636.56,0.00,0.00,0.00,0.00,4879950.56,2438447.19,89928.30,2441503.37,2269531.81,4879950.56
011-8239,"Gifts and Donations, African Development Foundation",,International Affairs,International development and humanitarian assistance,1697320.92,809378.95,1282467.40,0.00,0.00,5000.00,5000.00,3794167.27,2732093.64,809378.95,1062073.63,2003520.31,3794167.27
072-8824,"Gifts and Donations, Agency for International Development",Agency for International Development,International Affairs,International development and humanitarian assistance,66892285.39,5075899.76,87056056.47,0.00,0.00,0.00,0.00,159024241.62,107498734.77,5075899.76,51525506.85,104212286.58,159024241.62
014-8361,"Gifts and Donations, Bureau of Indian Affairs",Department of the Interior,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",3073381.65,23749.41,2125532.71,0.00,0.00,0.00,0.00,5222663.77,749461.08,23749.41,4473202.69,863102.31,5222663.77
075-8250,"Gifts and Donations, Centers for Disease Control, Health and Human Services",Department of Health and Human Services,Health,Health care services,20780665.82,979075.85,26560965.20,0.00,0.00,0.00,0.00,48320706.87,28699673.50,979075.85,19621033.37,26933096.48,48320706.87
321-8268,"Gifts and Donations, Commission for the Preservation of America's Heritage Abroad",Commission for the Preservation of America's Heritage Abroad,General Government,Other general government,170313.02,0.00,64820.00,0.00,0.00,0.00,0.00,235133.02,15585.40,0.00,219547.62,15585.40,235133.02
061-8079,"Gifts and Donations, Consumer Product Safety Commission",Consumer Product Safety Commission,Health,Consumer and occupational health and safety,18953.01,0.00,0.00,0.00,0.00,0.00,0.00,18953.01,0.00,0.00,18953.01,0.00,18953.01
070-8244,"Gifts and Donations, Department Management, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,2759358.81,5350000.00,386752.49,0.00,0.00,0.00,0.00,8496111.30,3603810.10,5350000.00,4892301.20,27597971.20,8496111.30
089-8576,"Gifts and Donations, Energy",Department of Energy,Energy,"Energy information, policy, and regulation",32018.08,15.90,37875.00,0.00,0.00,0.00,0.00,69908.98,39423.97,15.90,30485.01,27794.55,69908.98
474-8080,"Gifts and Donations, Institute of Museum and Library Services",Institute of Museum and Library Services,"Education, Training, Employment, and Social Services",Research and general education aids,70306.54,0.00,15161.00,0.00,0.00,0.00,0.00,85467.54,14573.79,0.00,70893.75,1773.79,85467.54
080-8980,"Gifts and Donations, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"Education, Training, Employment, and Social Services",Research and general education aids,90669.34,432.50,436125.08,0.00,0.00,0.00,0.00,527226.92,0.00,432.50,527226.92,103251.70,527226.92
417-8040,"Gifts and Donations, National Endowment for the Arts",National Endowment for the Arts,"Education, Training, Employment, and Social Services",Research and general education aids,2211484.49,5731.10,387710.16,0.00,0.00,0.00,0.00,2604925.75,216924.37,5731.10,2388001.38,327949.25,2604925.75
418-8050,"Gifts and Donations, National Endowment for the Humanities",National Endowment for the Humanities,"Education, Training, Employment, and Social Services",Research and general education aids,469304.04,145.07,36827.32,0.00,0.00,0.00,0.00,506276.43,234862.41,145.07,271414.02,283195.50,506276.43
011-8240,"Gifts and Donations, the White House Conference on Drug Abuse and Control, Executive Office of the President",,General Government,Executive direction and management,50302.15,0.00,0.00,0.00,0.00,0.00,0.00,50302.15,0.00,0.00,50302.15,0.00,50302.15
015-8306,"Gifts, Crime Victims Fund, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,24070.80,0.00,540.00,0.00,0.00,0.00,0.00,24610.80,0.00,0.00,24610.80,0.00,24610.80
011-8243,"Gifts, Donations and Contributions, Inter-American Foundation, Funds Appropriated to the President",,International Affairs,International development and humanitarian assistance,261627.73,0.00,680236.00,0.00,0.00,0.00,0.00,941863.73,628169.41,0.00,313694.32,140247.41,941863.73
020-5080,"Gifts to Reduce Debt Held by the Public, Bureau of the Fiscal Service, Treasury",Department of the Treasury,General Government,Other general government,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
014-5412,"Glacier Bay National Park, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,63442.93,-2441.60,0.00,0.00,0.00,0.00,0.00,61001.33,2.02,6858.43,60999.31,68390.04,61001.33
011-1475,Global Agriculture and Food Security Program,,International Affairs,International development and humanitarian assistance,15088668.00,0.00,0.00,0.00,0.00,0.00,0.00,15088668.00,0.00,0.00,15088668.00,0.00,15088668.00
011-0066,"Global Environment Facility, Funds Appropriated to the President",,International Affairs,International development and humanitarian assistance,0.00,0.00,139575000.00,0.00,0.00,0.00,0.00,139575000.00,139575000.00,0.00,0.00,139575000.00,139575000.00
075-0955,"Global Health, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,Health,Health care services,24199475.50,3002846.80,487335000.00,0.00,0.00,0.00,0.00,514537322.30,443726975.13,11413633.62,70810347.17,430619286.92,514537322.30
019-1031,"Global Health Programs, State",Department of State,International Affairs,International development and humanitarian assistance,9181111298.98,133199596.43,8722500000.00,0.00,0.00,356393.00,356393.00,18037167288.41,7809499581.59,135131381.72,10227667706.82,8643276612.21,18037167288.41
019-1030,"Global HIV/AIDS Initiative, State",Department of State,International Affairs,International development and humanitarian assistance,20699473.36,4422731.91,0.00,0.00,0.00,0.00,0.00,25122205.27,10260078.73,4422731.91,14862126.54,10487229.45,25122205.27
011-1041,"Global Security Contingency Fund, International Security Assistance, State",,International Affairs,International security assistance,34575846.19,1676659.02,0.00,0.00,0.00,0.00,0.00,36252505.21,2213216.37,1676659.02,34039288.84,6074155.92,36252505.21
024-0500,"Government Payment for Annuitants, Employee Life Insurance     Benefits, Office of Personnel Management",Office of Personnel Management,Income Security,Federal employee retirement and disability,0.00,0.00,42315289.54,0.00,0.00,0.00,0.00,42315289.54,42315289.54,0.00,0.00,42288693.71,42315289.54
