federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
070-5695,"Customs and Border Protection, Customs User Fees Account, USCS, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,226781608.03,10590665.30,803982065.32,0.00,0.00,0.00,0.00,1041354338.65,737187426.09,10590665.30,304166912.56,713670049.08,1041354338.65
070-5087,"Customs and Border Protection, Immigration User Fees, Border and Transportation Security, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,118670550.47,-6621278.05,716736111.19,0.00,0.00,19702769.12,19702769.12,848488152.73,674214463.23,0.00,174273689.50,674214463.23,848488152.73
070-5089,"Customs and Border Protection, Land Border Inspection Fees, Border and Transportation Security, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,18715838.57,0.00,49703754.24,0.00,0.00,0.00,0.00,68419592.81,53661000.00,0.00,14758592.81,53661000.00,68419592.81
070-5694,"Customs and Border Protection Services at User Fee Facilities, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,10975760.69,199650.95,9067334.29,0.00,0.00,11009668.63,11009668.63,31252414.56,23935308.19,199650.95,7317106.37,25103865.62,31252414.56
070-5687,"Customs and Border Protection, Transfer and Expenses of Operation, Puerto Rico, USCS, Homeland Security",Department of Homeland Security,General Government,General purpose fiscal assistance,36856551.90,1153062.33,83474137.80,0.00,0.00,1331.90,1331.90,121485083.93,104217405.60,1153062.33,17267678.33,94325000.11,121485083.93
070-0503,"Customs and Border Protection, USCS",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,791705.87,14831.85,-277827.00,0.00,0.00,0.00,0.00,528710.72,412711.15,14831.85,115999.57,16764.61,528710.72
070-8529,"Customs and Border Protection, Violent Crime Reduction Trust Fund, USCS, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.56,0.00,0.56
020-1855,"Cybersecurity Enhancement Account, Departmental Offices, Treasury",Department of the Treasury,General Government,Other general government,0.00,0.00,47743000.00,0.00,0.00,0.00,0.00,47743000.00,8442255.58,0.00,39300744.42,453408.28,47743000.00
069-0159,"Cyber Security Initiatives, Office of the Secretary, Transportation",Department of Transportation,Transportation,Other transportation,7904026.59,15283.08,15000000.00,0.00,0.00,0.00,0.00,22919309.67,10710043.99,15283.08,12209265.68,5719961.94,22919309.67
012-3314,"Dairy Indemnity Program, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,0.00,2270.51,222063.57,0.00,0.00,0.00,0.00,224334.08,224334.08,2270.51,0.00,217760.98,224334.08
012-4368,"Damage Assessment and Restoration Revolving Fund, Agriculture",Department of Agriculture,Natural Resources and Environment,Other natural resources,2080921.76,0.00,0.00,0.00,0.00,1176029.00,1176029.00,3256950.76,21.84,0.00,3256928.92,628.71,3256950.76
068-4365,"Damage Assessment and Restoration Revolving Fund, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Other natural resources,2853804.79,47037.12,845739.01,0.00,0.00,14458.91,14458.91,3761039.83,1166320.19,13377.12,2594719.64,1180191.91,3761039.83
013-4316,"Damage Assessment and Restoration Revolving Fund, National Oceanic and Atmospheric Administration, Commerce",Department of Commerce,Natural Resources and Environment,Other natural resources,118528841.04,7715749.52,6859609.00,0.00,0.00,16205215.09,16205215.09,149309414.65,29631065.14,7429880.14,119678349.51,60675441.52,149309414.65
069-0553,"Darien Gap Highway, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,2037034.50,0.00,0.00,0.00,0.00,0.00,0.00,2037034.50,0.00,0.00,2037034.50,0.00,2037034.50
011-0030,"Data-Driven Innovation, Funds Appropriated to the President, Executive Office of the President",,General Government,Executive direction and management,958530.44,20988.54,0.00,0.00,0.00,0.00,0.00,979518.98,22521.89,20988.54,956997.09,111445.71,979518.98
020-5445,"Debt Collection Fund, Bureau of the Fiscal Service, Treasury",Department of the Treasury,General Government,Central fiscal operations,87629332.71,-1687660.18,164195048.76,0.00,0.00,0.00,0.00,250136721.29,178569984.12,3544684.96,71566737.17,170596096.01,250136721.29
011-0091,"Debt Restructuring, Funds Appropriated to the President",,International Affairs,International development and humanitarian assistance,1596376.81,-467455.38,0.00,0.00,0.00,0.00,0.00,1128921.43,0.00,0.00,1128921.43,19324649.00,1128921.43
097-5187,"Defense Cooperation Account, Defense",Department of Defense,National Defense,Department of Defense-Military,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
097-0833,"Defense Emergency Response Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,207587015.29,5583725.06,0.00,0.00,0.00,0.00,0.00,213170740.35,0.00,5583725.06,213170740.35,1748465.44,213170740.35
089-0251,"Defense Environmental Cleanup, Environmental and Other Defense Activities, Energy",Department of Energy,National Defense,Atomic energy defense activities,19659468.28,78622217.25,5966194087.00,0.00,0.00,0.00,0.00,6064475772.53,6024830133.27,78622216.56,39645639.26,5936039934.90,6064475772.53
089-0242,"Defense Environmental Restoration and Waste Management, Energy",Department of Energy,National Defense,Atomic energy defense activities,0.69,-0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
089-0249,"Defense Environmental Services, Energy",Department of Energy,National Defense,Atomic energy defense activities,11435.70,0.00,0.00,0.00,0.00,0.00,0.00,11435.70,0.00,0.00,11435.70,0.00,11435.70
097-0130,"Defense Health Program, Defense",Department of Defense,National Defense,Department of Defense-Military,4026140857.98,753155604.46,33863244600.00,0.00,0.00,3151842258.97,3151842258.97,41794383321.41,37354974248.00,1777775950.80,4439409073.41,34994937217.95,41794383321.41
089-0309,"Defense Nuclear Nonproliferation, National Nuclear Security Administration, Energy",Department of Energy,National Defense,Atomic energy defense activities,37178472.91,86975270.47,1872194033.47,0.00,0.00,892462.50,892462.50,1997240239.35,1931843591.01,86975270.47,65396648.34,1888812301.53,1997240239.35
089-0244,"Defense Nuclear Waste Disposal, Environmental and Other Defense Activities, Energy",Department of Energy,National Defense,Atomic energy defense activities,5719420.98,1108999.20,0.00,0.00,0.00,0.00,0.00,6828420.18,5622180.14,1108999.20,1206240.04,1450966.43,6828420.18
097-0360,"Defense Production Act Purchases, Defense",Department of Defense,National Defense,Department of Defense-Military,138605165.11,48354675.41,64065000.00,0.00,0.00,0.00,0.00,251024840.52,38703182.88,3354675.41,212321657.64,55352629.99,251024840.52
097-4930,"Defense Working Capital Funds, Defense",Department of Defense,National Defense,Department of Defense-Military,10665100882.90,1117688173.44,1937927000.00,0.00,76540407235.62,49509380244.99,126049787480.61,139770503536.95,127954109148.95,10994235851.78,11816394388.00,111220214282.89,139770503536.95
069-0551,"Delta Regional Transportation Development Program, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,2130058.40,168565.00,0.00,0.00,0.00,0.00,0.00,2298623.40,460047.00,168565.00,1838576.40,-523116.00,2298623.40
072-1500,"Demobilization and Transition Fund, Funds Appropriated to the President",Agency for International Development,International Affairs,International security assistance,87327.23,0.00,0.00,0.00,0.00,0.00,0.00,87327.23,0.00,0.00,87327.23,-854.40,87327.23
019-1121,"Democracy Fund, State",Department of State,International Affairs,International development and humanitarian assistance,154569989.63,804657.76,210500000.00,0.00,0.00,0.00,0.00,365874647.39,151699049.59,2985022.48,214175597.80,119454597.70,365874647.39
069-0511,"Denali Access System Program, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,12691.12,0.00,0.00,0.00,0.00,0.00,12691.12,0.00,12691.12,12691.12,107309.01,12691.12
513-8056,Denali Commission Trust Fund,Denali Commission,Community and Regional Development,Area and regional development,336775.35,504561.19,1703997.90,0.00,0.00,0.00,0.00,2545334.44,2521221.53,504561.19,24112.91,8224586.59,2545334.44
012-0120,"Departmental Administration, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,564376.42,-46057.89,0.00,0.00,0.00,-446058.51,-446058.51,72260.02,20516.75,42616.89,51743.27,23240.21,72260.02
089-0228,"Departmental Administration, Energy Programs, Energy",Department of Energy,Energy,"Energy information, policy, and regulation",127368432.68,16275790.64,146834478.91,0.00,0.00,113945173.80,113945173.80,404423876.03,263870188.58,5396018.04,140553687.45,254925899.08,404423876.03
089-0338,"Departmental Administration - Recovery Act, Energy Programs, Energy",Department of Energy,Energy,"Energy information, policy, and regulation",1044475.02,-1044475.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,448603.78,0.00,16907.79,0.00
014-1125,"Departmental Offices, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,56980050.31,33850140.48,390954258.00,0.00,0.00,7191566.43,7191566.43,488976015.22,449065401.24,13921937.02,39910613.98,428596478.33,488976015.22
014-1125,"Departmental Offices, Interior",Department of the Interior,Natural Resources and Environment,Pollution control and abatement,73457108.41,68962899.98,551716742.00,0.00,0.00,30994502.03,30994502.03,725131252.42,682748627.34,33891103.44,42382625.08,637023881.96,725131252.42
070-0100,"Departmental Operations, Departmental Management, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,767000.95,69509.18,137034000.00,0.00,0.00,17211321.09,17211321.09,155081831.22,154795515.96,69509.18,286315.26,119186474.43,155081831.22
014-5571,"Departmental Operations, Land and Water Conservation Fund, Departmental Offices, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,2762840.14,368426.90,11000000.00,0.00,0.00,0.00,0.00,14131267.04,11405191.59,368426.90,2726075.45,12680309.58,14131267.04
014-0102,"Departmental Operations, Office of the Secretary, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,93576911.38,11583547.72,260074000.00,0.00,0.00,54086984.16,54086984.16,419321443.26,360342098.35,10887856.30,58979344.91,366052474.30,419321443.26
097-0111,Department of Defense Acquisition Workforce Development Fund,Department of Defense,National Defense,Department of Defense-Military,861878369.70,183438464.84,-531000000.00,0.00,0.00,-1295151.77,-1295151.77,513021682.77,448762587.05,61512143.14,64259095.72,468302184.22,513021682.77
097-0510,"Department of Defense Base Closure Account 1990, Defense",Department of Defense,National Defense,Department of Defense-Military,51045557.75,8352881.04,0.00,0.00,0.00,0.00,0.00,59398438.79,874663.75,8352881.04,58523775.04,24043215.27,59398438.79
097-0512,"Department of Defense Base Closure Account 2005, Defense",Department of Defense,National Defense,Department of Defense-Military,319141898.81,125088599.92,0.00,0.00,0.00,503527.31,503527.31,444734026.04,78959426.77,125088599.92,365774599.27,15385823.77,444734026.04
097-0516,"Department of Defense Base Closure Account, Defense",Department of Defense,National Defense,Department of Defense-Military,314273622.40,29077007.55,240237000.00,0.00,0.00,53824257.03,53824257.03,637411886.98,414246865.16,29077007.55,223165021.82,447308307.95,637411886.98
097-8098,"Department of Defense, Education Benefits Fund",Department of Defense,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",0.00,0.00,255733337.25,0.00,0.00,0.00,0.00,255733337.25,255733337.25,0.00,0.00,255901810.89,255733337.25
097-0834,"Department of Defense Family Housing Improvement Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,19506498.70,1535979.76,86774093.88,0.00,0.00,0.00,0.00,107816572.34,89497587.03,965.76,18318985.31,105485787.65,107816572.34
021-5285,"Department of Defense, Forest Products Program, Army",Department of the Army,Natural Resources and Environment,Recreational resources,2939181.38,0.00,-138953.65,0.00,0.00,0.00,0.00,2800227.73,0.00,0.00,2800227.73,3309.30,2800227.73
097-8163,"Department of Defense General Gift Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,6927837.27,0.00,123554.79,0.00,0.00,0.00,0.00,7051392.06,459019.39,0.00,6592372.67,432286.08,7051392.06
021-5752,"Department of Defense Korean War Commemoration Fund, Army",Department of the Army,National Defense,Department of Defense-Military,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
097-5472,"Department of Defense, Medicare-Eligible Retiree Health Care Fund",Department of Defense,Health,Health care services,0.00,0.00,9955998434.71,0.00,0.00,0.00,0.00,9955998434.71,9955998434.71,0.00,0.00,9940788542.04,9955998434.71
097-8097,Department of Defense Military Retirement Fund,Department of Defense,Income Security,Federal employee retirement and disability,0.00,0.00,57696228866.65,0.00,0.00,0.00,0.00,57696228866.65,57696228866.65,0.00,0.00,57735578154.56,57696228866.65
097-0836,"Department of Defense Military Unaccompanied Housing Improvement Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,9220.00,0.00,0.00,0.00,0.00,0.00,0.00,9220.00,0.00,0.00,9220.00,0.00,9220.00
097-5193,"Department of Defense Overseas Military Facility Investment Recovery Account, Defense",Department of Defense,National Defense,Department of Defense-Military,1470646.54,8710.70,0.00,0.00,0.00,0.00,0.00,1479357.24,0.00,8710.70,1479357.24,564642.75,1479357.24
097-5750,"Department of Defense Vietnam War Commemoration Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,13483081.25,825641.36,3047.85,0.00,0.00,0.00,0.00,14311770.46,1025327.58,825641.36,13286442.88,1677169.90,14311770.46
057-8928,"Department of the Air Force General Gift Fund, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,12165266.09,519922.18,5067651.96,0.00,0.00,0.00,0.00,17752840.23,4549698.99,519922.18,13203141.24,5620924.55,17752840.23
021-8927,"Department of the Army General Gift Fund, Army",Department of the Army,National Defense,Department of Defense-Military,30449489.08,352451.47,13141622.09,0.00,0.00,0.00,0.00,43943562.64,15821706.82,352451.47,28121855.82,11910002.73,43943562.64
017-8716,"Department of the Navy General Gift Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,7365220.30,0.00,1371786.76,0.00,0.00,0.00,0.00,8737007.06,2053282.85,0.00,6683724.21,2148035.79,8737007.06
036-8129,"Department of Veterans Affairs Cemetery Gift Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,1301640.37,45912.64,545964.64,0.00,0.00,0.00,0.00,1893517.65,278813.62,45912.64,1614704.03,217009.68,1893517.65
020-0115,"Department-Wide Systems and Capital Investments Programs, Departmental Offices, Treasury",Department of the Treasury,General Government,Central fiscal operations,7741575.50,-27419.15,3000000.00,0.00,0.00,0.00,0.00,10714156.35,8266905.73,983717.76,2447250.62,2919761.95,10714156.35
070-0102,"Department-Wide Technology Investments, Departmental Management, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,267747317.31,194400.70,0.00,0.00,0.00,0.00,0.00,267941718.01,17628483.23,194400.70,250313234.78,5822228.96,267941718.01
051-4596,"Deposit Insurance Fund, Federal Deposit Insurance Corporation",Federal Deposit Insurance Corporation,Commerce and Housing Credit,Deposit insurance,74315346161.33,0.00,0.00,0.00,0.00,13137106630.28,13137106630.28,87452452791.61,4697266105.21,0.00,82755186686.40,4708692557.38,87452452791.61
069-0584,"Des Moines Inner Loop Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
070-5542,"Detention and Removal Operations, U.S. Immigration and Customs Enforcement, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,132550.33,0.00,1608253.00,0.00,0.00,0.00,0.00,1740803.33,1555584.52,0.00,185218.81,2456082.00,1740803.33
015-0136,"Detention Trustee, General Administration, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,48583.42,0.00,0.00,0.00,0.00,0.00,0.00,48583.42,0.00,0.00,48583.42,0.00,48583.42
072-1021,"Development Assistance, Agency for International Development, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,2718298607.34,77721381.66,2995465000.00,0.00,0.00,1613451.39,1613451.39,5793098440.39,2655316138.88,138196285.16,3137782301.51,2601188380.31,5793098440.39
072-1264,"Development Credit Authority, United States Agency for International Development",Agency for International Development,International Affairs,International development and humanitarian assistance,26521145.49,26656633.41,15678550.00,0.00,0.00,288107.50,288107.50,69144436.40,47496079.00,18729084.07,21648357.40,32801099.80,69144436.40
072-4103,"Development Loan Fund, Executive",Agency for International Development,International Affairs,International development and humanitarian assistance,9256008.78,-9258325.09,0.00,0.00,0.00,15928787.49,15928787.49,15926471.18,7714237.25,0.00,8212233.93,7714237.25,15926471.18
013-5396,"Digital Television Transition and Public Safety Fund, National Telecommunications and Information Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1473412.49,0.00
019-0113,"Diplomatic and Consular Programs, State",Department of State,International Affairs,Conduct of foreign affairs,2992353972.82,353577160.23,9610140000.00,0.00,0.00,5186609374.04,5186609374.04,18142680507.09,13742804619.94,590090001.60,4399875887.15,13498127082.82,18142680507.09
070-0703,"Disaster Assistance Direct Loan Program Account, Federal Emergency Management Agency, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,279616627.52,13509554.80,-151143130.40,0.00,0.00,0.00,0.00,141983051.92,13796049.34,13509554.80,128187002.58,10657922.56,141983051.92
073-4153,"Disaster Loan Fund, Liquidating Account, Small Business Administration",Small Business Administration,Community and Regional Development,Disaster relief and insurance,0.00,0.00,185643.71,0.00,0.00,0.00,0.00,185643.71,185643.71,0.00,0.00,162877.66,185643.71
073-1152,"Disaster Loans Program Account, Small Business Administration",Small Business Administration,Community and Regional Development,Disaster relief and insurance,568105464.97,55582122.18,645936038.00,0.00,0.00,0.00,0.00,1269623625.15,582116384.89,55582122.18,687507240.26,514686537.98,1269623625.15
070-0702,"Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,1820591857.84,737379717.26,13965364002.00,0.00,0.00,9044369.66,9044369.66,16532379946.76,13166956171.39,818386196.75,3365423775.37,8742252227.02,16532379946.76
069-8191,"Discretionary Grants, Liquidation of Contract Authorization, Highway Trust Fund, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,18178846.86,0.00,0.00,0.00,0.00,0.00,18178846.86,0.00,18178846.86,18178846.86,336829.00,18178846.86
012-1144,"Discrimination Claims Settlement, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,27789687.92,0.00,0.00,0.00,0.00,0.00,0.00,27789687.92,0.00,0.00,27789687.92,0.00,27789687.92
097-5188,"Disposal of Department of Defense Real Property, Defense",Department of Defense,National Defense,Department of Defense-Military,54732555.40,483591.28,9809649.09,0.00,0.00,0.00,0.00,65025795.77,3151520.65,483591.28,61874275.12,6623334.92,65025795.77
012-1232,"Distance Learning, Telemedicine, and Broadband Program",Department of Agriculture,Community and Regional Development,Area and regional development,27363716.12,8962200.84,160662991.05,0.00,0.00,0.00,0.00,196988908.01,155037221.20,8962200.84,41951686.81,137026818.45,196988908.01
349-5676,"District of Columbia Crime Victims Compensation Fund, District of Columbia Courts",,General Government,General purpose fiscal assistance,614861.93,0.00,11621083.72,0.00,0.00,0.00,0.00,12235945.65,8607107.38,0.00,3628838.27,8281959.39,12235945.65
020-5511,"District of Columbia Federal Pension Fund, Treasury",Department of the Treasury,Income Security,General retirement and disability insurance (excluding social se,13810389.95,4156336.02,553090562.99,0.00,0.00,177020210.89,177020210.89,748077499.85,732424767.82,4156336.02,15652732.03,732828907.19,748077499.85
020-8212,"District of Columbia Judicial Retirement and Survivor's Annuity Fund, Treasury",Department of the Treasury,Income Security,Federal employee retirement and disability,0.00,50260.07,13224026.40,0.00,0.00,0.00,0.00,13274286.47,13274286.47,50260.07,0.00,13265544.71,13274286.47
015-5131,"Diversion Control Fee Account, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,175297746.72,24147727.92,399702287.42,0.00,0.00,966799.18,966799.18,600114561.24,420678721.06,24147727.92,179435840.18,378312230.53,600114561.24
036-0165,"DOD-VA Health Care Sharing Incentive Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,81148284.68,4962210.10,-10000000.00,0.00,0.00,0.00,0.00,76110494.78,31793814.08,4962210.10,44316680.70,51624312.75,76110494.78
015-5606,"Domestic Trafficking Victims' Fund, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,130842.50,0.00,4937698.80,0.00,0.00,0.00,0.00,5068541.30,4586000.00,0.00,482541.30,697655.78,5068541.30
012-8034,"Donations for Forest and Rangeland Research, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,114926.96,0.00,10197.89,0.00,0.00,0.00,0.00,125124.85,200.00,0.00,124924.85,200.00,125124.85
014-8037,"Donations, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,84659361.54,1649801.34,63756969.50,0.00,0.00,0.15,0.15,150066132.53,75291815.23,1649801.34,74774317.30,105498267.75,150066132.53
049-8960,"Donations, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,23934982.79,9412201.64,40860282.44,0.00,0.00,0.00,0.00,74207466.87,41586200.30,9412201.64,32621266.57,26774364.16,74207466.87
086-0197,"Drug Elimination Grants for Low-Income Housing, Housing Programs, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
097-0105,"Drug Interdiction and Counter-Drug Activities, Defense",Department of Defense,National Defense,Department of Defense-Military,44266189.00,0.00,0.00,0.00,0.00,0.00,0.00,44266189.00,0.00,0.00,44266189.00,0.00,44266189.00
060-0111,"Dual Benefits Payments Account, Railroad Retirement Board",Railroad Retirement Board,Income Security,General retirement and disability insurance (excluding social se,9614694.54,-2272481.58,25000000.00,0.00,0.00,996.53,996.53,32343209.49,24003605.19,1341.95,8339604.30,23880868.18,32343209.49
075-0114,"Early Retiree Reinsurance Program, Office of the Secretary, Health and Human Services",Department of Health and Human Services,Health,Health care services,26119516.20,242.49,0.00,0.00,0.00,0.00,0.00,26119758.69,30862.68,242.49,26088896.01,30862.68,26119758.69
019-8272,"Eastern Europe Student Exchange Endowment Fund, State",Department of State,International Affairs,Foreign information and exchange activities,129199.03,0.00,0.00,0.00,0.00,0.00,0.00,129199.03,0.00,0.00,129199.03,0.00,129199.03
019-0202,"East-West Center, State",Department of State,International Affairs,Foreign information and exchange activities,0.00,0.00,16700000.00,0.00,0.00,0.00,0.00,16700000.00,16700000.00,0.00,0.00,16760760.00,16700000.00
069-0582,"Ebensburg Bypass Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
013-2050,"Economic Development Assistance Programs, Economic Development Administration, Commerce",Department of Commerce,Community and Regional Development,Area and regional development,70893938.27,39436721.27,227000000.00,0.00,0.00,599770.00,599770.00,337930429.54,293980791.29,40582721.27,43949638.25,252227798.50,337930429.54
013-4406,"Economic Development Revolving Fund, Liquidating Account, Commerce",Department of Commerce,Community and Regional Development,Area and regional development,2595.70,0.00,0.00,0.00,0.00,131528.82,131528.82,134124.52,134124.52,0.00,0.00,246931.15,134124.52
012-1701,Economic Research Service,Department of Agriculture,Agriculture,Agricultural research and services,2472291.68,1523640.43,86757000.00,0.00,0.00,3274993.73,3274993.73,94027925.84,90773818.66,2522250.81,3254107.18,87931218.20,94027925.84
013-4323,"Economics and Statistics Administration Revolving Fund, Economic and Statistical Analysis, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,173921.00,0.00,0.00,0.00,0.00,2336410.00,2336410.00,2510331.00,1878891.37,0.00,631439.63,1829241.99,2510331.00
072-1037,"Economic Support Fund, Funds Appropriated to the President",Agency for International Development,International Affairs,International security assistance,4180325333.78,243011013.79,4411745891.00,0.00,0.00,13553392.39,13553392.39,8848635630.96,4317295909.25,301035185.57,4531339721.71,5322683517.08,8848635630.96
019-0209,"Educational and Cultural Exchange Programs,State",Department of State,International Affairs,Foreign information and exchange activities,70987022.99,57057502.30,637853430.34,0.00,0.00,15745547.93,15745547.93,781643503.56,692342205.44,17877288.53,89301298.12,653022712.27,781643503.56
014-5663,"Educational Expenses, Children of Employees, Yellowstone National Park, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,17677.81,0.00,0.00,0.00,0.00,0.00,0.00,17677.81,0.00,0.00,17677.81,0.00,17677.81
072-1025,"Education and Human Resources Development, Development Assistance, Economic Assistance, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,2649022.09,0.00,0.00,0.00,0.00,0.00,0.00,2649022.09,0.00,0.00,2649022.09,372789.32,2649022.09
049-0106,"Education and Human Resources, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,37837309.77,3495200.72,873050000.00,0.00,0.00,4332738.00,4332738.00,918715248.49,878359851.15,19057975.70,40355397.34,758365603.22,918715248.49
091-0900,"Education for the Disadvantaged, Department of Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",678291240.53,-1264359.32,16143790000.00,0.00,0.00,0.00,0.00,16820816881.21,16789619206.31,16478602.97,31197674.90,16237709888.57,16820816881.21
080-0128,"Education, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",13800114.40,3766014.96,100000000.00,0.00,0.00,0.00,0.00,117566129.36,105438357.69,4488632.42,12127771.67,123735377.33,117566129.36
045-4019,"EEOC Education, Technical Assistance and Training Revolving Fund, Equal Employment Opportunity Commission",Equal Employment Opportunity Commission,Administration of Justice,Federal law enforcement activities,1680284.81,41944.28,0.00,0.00,0.00,4330982.63,4330982.63,6053211.72,4246227.16,41944.28,1806984.56,4274335.21,6053211.72
069-0120,"Efficiency Incentive Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,2.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
525-1652,"Election Data Collections Grants, Election Assistance Commission",Election Assistance Commission,General Government,Other general government,1557794.38,201230.25,0.00,0.00,0.00,0.00,0.00,1759024.63,201230.25,201230.25,1557794.38,201230.25,1759024.63
525-1651,"Election Reform Programs, Election Assistance Commission",Election Assistance Commission,General Government,Other general government,1308663.78,60652.18,0.00,0.00,0.00,0.00,0.00,1369315.96,0.00,60652.18,1369315.96,1967436.00,1369315.96
089-0318,"Electricity Delivery, Energy Programs, Energy",Department of Energy,Energy,Energy supply,25438468.54,4364531.34,223744891.00,0.00,0.00,4094525.49,4094525.49,257642416.37,230330435.01,4364531.34,27311981.36,172037361.24,257642416.37
088-0303,"Electronic Records Archive, National Archives and Records Administration",National Archives and Records Administration,General Government,General property and records management,10710942.00,-2173392.94,0.00,0.00,0.00,0.00,0.00,8537549.06,0.00,25498.37,8537549.06,0.00,8537549.06
070-5595,"Electronic System for Travel Authorization, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,78378439.05,208130.60,59651216.00,0.00,0.00,0.00,0.00,138237785.65,68419682.91,208130.60,69818102.74,65481096.37,138237785.65
019-0535,"Embassy Security, Construction, and Maintenance, State",Department of State,International Affairs,Conduct of foreign affairs,7625284032.05,152917986.86,3011070000.00,0.00,0.00,1802865248.37,1802865248.37,12592137267.28,5344092123.85,152917986.86,7248045143.43,3357373810.05,12592137267.28
